xAcc,yAcc,zAcc
-4.746162,0.309746,6.522663
-6.060574,0.932213,6.130051
-6.247433,2.292149,6.060574
-7.530602,1.791676,3.900982
-7.410988,2.598621,3.862747
-6.783611,1.937771,4.319927
-6.247433,2.067055,4.109264
-7.33913,2.138912,5.337536
-7.734123,3.273754,3.989651
-7.738884,4.281693,3.9776
-7.918453,3.714272,4.396545
-8.086121,3.256943,4.798828
-8.739681,3.127659,4.920971
-8.057407,4.34626,5.349438
-7.403698,4.758064,4.154789
-7.353413,4.995209,4.679066
-7.262512,4.114025,3.817223
-6.934467,3.520271,3.14447
-6.182716,3.838795,3.61132
-6.798042,4.676685,4.123695
-7.315178,4.784397,4.267262
-7.042179,5.263298,3.752506
-7.293606,4.762974,3.362274
-7.082943,5.392582,3.024708
-7.252991,5.050255,3.005516
-8.17955,7.154652,3.283276
-8.220165,6.721424,2.981564
-6.807564,6.098808,2.486
-9.750149,5.737289,2.713474
-11.112316,5.421295,5.062157
-10.142761,4.932873,4.025505
-5.529156,6.716515,3.493938
-4.789307,6.793133,3.223469
-6.290428,6.869751,3.110847
-5.531536,7.149891,2.624954
-4.679214,7.283936,2.567379
-4.72221,7.252842,2.078957
-3.79089,8.414017,1.336876
-3.22823,8.495396,1.595444
-3.079903,8.773155,2.067055
-2.984093,9.096439,2.433334
-3.094185,9.022202,2.091007
-3.996792,9.01506,1.825298
-4.317696,8.533779,1.260258
-4.700787,8.682255,0.649693
-4.288982,8.746822,1.145256
-4.370361,8.663063,2.732666
-3.836414,8.852154,3.113228
-3.266613,8.813919,3.053421
-3.261852,8.529018,3.082134
-3.204277,8.868965,2.256145
-3.314518,8.754112,2.325623
-3.616081,8.557732,2.744568
-3.410179,8.459541,2.653667
-2.936188,8.665443,2.038342
-2.77343,8.749203,1.700775
-2.818806,8.828201,1.83482
-2.933807,9.19939,2.047863
-2.699192,9.206532,2.526764
-2.94809,9.180199,2.687141
-3.369564,8.947964,2.890663
-3.80294,8.852154,2.512333
-3.687939,8.936062,2.280098
